joint_1_base_fx,joint_1_base_fy,joint_1_base_fz,joint_1_base_tx,joint_1_base_ty,joint_1_base_tz,link_1_ox,link_1_oy,link_1_oz,link_1_e1,link_1_e2,link_1_e3,link_1_cax,link_1_cay,link_1_caz,link_1_cavx,link_1_cavy,link_1_cavz,link_1_caax,link_1_caay,link_1_caaz,joint_1_link_1_fx,joint_1_link_1_fy,joint_1_link_1_fz,joint_1_link_1_tx,joint_1_link_1_ty,joint_1_link_1_tz,joint_2_link_1_fx,joint_2_link_1_fy,joint_2_link_1_fz,joint_2_link_1_tx,joint_2_link_1_ty,joint_2_link_1_tz,link_2_ox,link_2_oy,link_2_oz,link_2_e1,link_2_e2,link_2_e3,link_2_cax,link_2_cay,link_2_caz,link_2_cavx,link_2_cavy,link_2_cavz,link_2_caax,link_2_caay,link_2_caaz,joint_2_link_2_fx,joint_2_link_2_fy,joint_2_link_2_fz,joint_2_link_2_tx,joint_2_link_2_ty,joint_2_link_2_tz,joint_3_link_2_fx,joint_3_link_2_fy,joint_3_link_2_fz,joint_3_link_2_tx,joint_3_link_2_ty,joint_3_link_2_tz,link_3_ox,link_3_oy,link_3_oz,link_3_e1,link_3_e2,link_3_e3,link_3_cax,link_3_cay,link_3_caz,link_3_cavx,link_3_cavy,link_3_cavz,link_3_caax,link_3_caay,link_3_caaz,joint_3_link_3_fx,joint_3_link_3_fy,joint_3_link_3_fz,joint_3_link_3_tx,joint_3_link_3_ty,joint_3_link_3_tz,joint_4_link_3_fx,joint_4_link_3_fy,joint_4_link_3_fz,joint_4_link_3_tx,joint_4_link_3_ty,joint_4_link_3_tz,link_4_ox,link_4_oy,link_4_oz,link_4_e1,link_4_e2,link_4_e3,link_4_cax,link_4_cay,link_4_caz,link_4_cavx,link_4_cavy,link_4_cavz,link_4_caax,link_4_caay,link_4_caaz,joint_4_link_4_fx,joint_4_link_4_fy,joint_4_link_4_fz,joint_4_link_4_tx,joint_4_link_4_ty,joint_4_link_4_tz,joint_5_link_4_fx,joint_5_link_4_fy,joint_5_link_4_fz,joint_5_link_4_tx,joint_5_link_4_ty,joint_5_link_4_tz,link_5_ox,link_5_oy,link_5_oz,link_5_e1,link_5_e2,link_5_e3,link_5_cax,link_5_cay,link_5_caz,link_5_cavx,link_5_cavy,link_5_cavz,link_5_caax,link_5_caay,link_5_caaz,joint_5_link_5_fx,joint_5_link_5_fy,joint_5_link_5_fz,joint_5_link_5_tx,joint_5_link_5_ty,joint_5_link_5_tz,joint_6_link_5_fx,joint_6_link_5_fy,joint_6_link_5_fz,joint_6_link_5_tx,joint_6_link_5_ty,joint_6_link_5_tz,flange_ox,flange_oy,flange_oz,flange_e1,flange_e2,flange_e3,flange_cax,flange_cay,flange_caz,flange_cavx,flange_cavy,flange_cavz,flange_caax,flange_caay,flange_caaz,joint_6_flange_fx,joint_6_flange_fy,joint_6_flange_fz,joint_6_flange_tx,joint_6_flange_ty,joint_6_flange_tz,tcp_x,tcp_y,tcp_z
0,-1.21E+02,0,5.26E+03,-3.49E-13,-6.11E+02,2.49E-14,3.49E+02,1.80E-14,90,90,90,0,1.79E-43,0,0,0,0,0,0,0,0,1.21E+02,0,-5.26E+03,3.49E-13,6.11E+02,0,-94.23788652,0,-2.43E-14,9.71E-13,-4.30E+02,7.5,4.88E+02,-9.836678394,90,90,-94.0382566,0,8.84E-28,0,0,0,0,0,0,0,0,94.23788652,0,2.43E-14,-9.71E-13,4.30E+02,0,-40.74446555,0,5.23E-15,-8.01E-13,30.17074677,-4.13E-14,6.62E+02,1.00E+02,90,1.80E+02,0,0,1.16E-27,0,0,0,0,0,0,0,0,40.74446555,0,-5.23E-15,8.01E-13,-30.17074677,0,-23.9930388,0,2.60E+03,7.05E-15,-3.80E-13,-4.22E-14,6.62E+02,98.5,1.80E+02,0,0,0,1.28E-27,0,0,0,0,0,0,0,0,23.9930388,0,-2.60E+03,-7.05E-15,3.80E-13,0,-5.21166915,0,2.44E-15,-8.77E-17,-9.269913061,-3.55E-15,6.12E+02,2.87E+02,7.95E-16,90,3.02E-14,0,-8.81E-27,0,0,0,0,0,0,0,0,5.21166915,0,-2.44E-15,8.77E-17,9.269913061,0,-1.159309311,0,0.003435953,-2.77E-19,1.44E-06,-1.52E-14,6.12E+02,2.87E+02,2.40E-15,90,-1.94E-14,0,1.01E-26,0,0,0,0,0,0,0,0,1.159309311,0,-0.003435953,2.77E-19,-1.44E-06,-7.94E-14,4.51E+02,2.87E+02
-1.37E-18,-1.21E+02,-3.39E-23,5.26E+03,-3.49E-13,-6.11E+02,6.39E-14,3.48E+02,6.18E-15,90,90,90,1.25E-16,-2.65E-23,1.15E-25,0,0,0,0,0,0,1.37E-18,1.21E+02,3.39E-23,-5.26E+03,3.49E-13,6.11E+02,-1.04E-18,-94.23788652,-3.39E-23,-2.43E-14,8.91E-13,-4.30E+02,7.5,4.88E+02,-9.836678394,90,90,-94.0382566,-2.07E-24,-5.29E-23,6.68E-21,0,0,0,0,0,0,1.04E-18,94.23788652,3.39E-23,2.43E-14,-8.91E-13,4.30E+02,-1.04E-18,-40.74446555,2.53E-24,5.23E-15,-8.42E-13,30.17074677,-5.51E-14,6.62E+02,1.00E+02,90,1.80E+02,0,9.95E-17,-3.97E-23,-1.48E-21,0,0,0,0,0,0,1.04E-18,40.74446555,-2.53E-24,-5.23E-15,8.42E-13,-30.17074677,-8.65E-19,-23.9930388,0,2.60E+03,6.09E-15,-3.80E-13,-5.64E-14,6.62E+02,98.5,1.80E+02,0,0,3.97E-16,-4.30E-23,3.31E-24,0,0,0,0,0,0,8.65E-19,23.9930388,0,-2.60E+03,-6.09E-15,3.80E-13,-1.05E-19,-5.21166915,5.05E-27,2.44E-15,-7.20E-17,-9.269913061,-1.69E-14,6.13E+02,2.86E+02,7.95E-16,90,3.02E-14,2.55E-16,2.56E-21,5.71E-23,0,0,0,0,0,0,1.05E-19,5.21166915,-5.05E-27,-2.44E-15,7.20E-17,9.269913061,2.00E-23,-1.159309311,2.86E-26,0.003435953,-2.77E-19,1.44E-06,-2.88E-14,6.13E+02,2.86E+02,2.40E-15,90,-1.94E-14,-8.27E-20,2.56E-21,-4.63E-22,0,0,0,0,0,0,-2.00E-23,1.159309311,-2.86E-26,-0.003435953,2.77E-19,-1.44E-06,-9.29E-14,451,2.86E+02
0.242,-1.20E+02,0.531,5.17E+03,-3.37E-13,-6.62E+02,6.39E-14,3.48E+02,6.18E-15,90,90,90,4.14E-25,8.27E-25,1.15E-25,0,0,0,0,0,0,-0.242,1.20E+02,-0.531,-5.17E+03,3.37E-13,6.62E+02,0.242,-93.52988652,0.531,-3.61E-14,69.4114,-4.54E+02,7.5,4.88E+02,-9.836678394,90,90,-94.0382566,6.20E-25,1.24E-24,1.03E-24,0,0,0,0,0,0,-0.242,93.52988652,-0.531,3.61E-14,-69.4114,4.54E+02,0.242,-40.03646555,0.531,4.44E-15,69.4114,74.17074677,-5.48E-14,6.63E+02,1.00E+02,90,1.80E+02,0,5.17E-25,1.65E-24,7.24E-25,0,0,0,0,0,0,-0.242,40.03646555,-0.531,-4.44E-15,-69.4114,-74.17074677,0.242,-23.2850388,0.531,2.36E+03,43.3964,-3.26E-13,-5.62E-14,6.63E+02,98.5,1.80E+02,0,0,5.17E-25,2.07E-24,1.03E-24,0,0,0,0,0,0,-0.242,23.2850388,-0.531,-2.36E+03,-43.3964,3.26E-13,0.242,-4.50366915,0.531,-1.10E-14,0.0784,41.99008694,-1.64E-14,6.13E+02,2.86E+02,7.95E-16,90,3.02E-14,8.27E-25,2.07E-24,1.65E-24,0,0,0,0,0,0,-0.242,4.50366915,-0.531,1.10E-14,-0.0784,-41.99008694,0.242,-0.451309311,0.531,-74.26556405,8.57E-15,33.95700144,-2.85E-14,6.13E+02,2.86E+02,2.40E-15,90,-1.94E-14,7.24E-25,2.07E-24,1.24E-24,0,0,0,0,0,0,-0.242,0.451309311,-0.531,74.26556405,-8.57E-15,-33.95700144,-9.27E-14,4.51E+02,2.86E+02
0.245060346,-1.20E+02,0.528940652,5.17E+03,-2.58E-12,-6.62E+02,1.10E-13,3.48E+02,-3.37E-15,90,89.99991136,90,-7.70E-19,7.38E-20,-3.55E-19,2.15E-32,2.98E-18,-5.21E-35,-1.94E-19,-1.12E-20,5.51E-21,-0.245060346,1.20E+02,-0.528940652,-5.17E+03,2.58E-12,6.62E+02,0.245060346,-93.53122964,0.528940652,7.04E-04,70.28878053,-4.55E+02,7.500015219,4.88E+02,-9.837132915,90,89.99991136,-94.03844828,-1.22E-18,-3.85E-28,-9.79E-17,-5.15E-17,8.97E-19,6.41E-19,-6.16E-18,3.21E-18,-9.79E-21,-0.245060346,93.53122964,-0.528940652,-7.04E-04,-70.28878053,4.55E+02,0.245060346,-40.03780867,0.528940652,-1.16E-04,70.28901335,74.72586237,-1.55E-04,6.63E+02,99.9987659,9.281523564,1.80E+02,-80.71847644,-1.22E-18,-3.94E-28,-9.79E-17,1.85E-32,4.12E-31,2.70E-31,2.50E-17,3.72E-18,-1.96E-17,-0.245060346,40.03780867,-0.528940652,1.16E-04,-70.28901335,-74.72586237,0.245060346,-23.28638192,0.528940652,2.36E+03,43.94437329,0.003241933,-1.52E-04,6.63E+02,98.4987659,-1.71E+02,5.50E-04,-9.281628949,-1.22E-18,-3.53E-28,-9.79E-17,4.13E-31,-3.54E-31,2.36E-34,4.97E-17,9.25E-18,-2.49E-17,-0.245060346,23.28638192,-0.528940652,-2.36E+03,-43.94437329,-0.003241933,0.245060346,-4.505012273,0.528940652,-6.58E-05,0.07885304,42.63769942,-5.35E-04,6.13E+02,2.86E+02,-1.05E-04,89.99920622,8.86E-05,-1.22E-18,-6.44E-28,-9.79E-17,1.58E-32,-7.12E-31,-2.78E-33,1.01E-16,1.45E-17,-1.54E-17,-0.245060346,4.505012273,-0.528940652,6.58E-05,-0.07885304,-42.63769942,0.245060346,-0.452652433,0.528940652,-73.97817017,6.12E-04,34.3854211,-5.35E-04,6.13E+02,2.86E+02,-1.05E-04,89.99920622,1.03E-04,-1.22E-18,-6.44E-28,-9.79E-17,-5.65E-30,-1.41E-30,-7.07E-31,2.48E-17,1.24E-17,-2.17E-17,-0.245060346,0.452652433,-0.528940652,73.97817017,-6.12E-04,-34.3854211,-8.32E-04,4.51E+02,2.87E+02
0.248120695,-1.20E+02,0.526881352,5.17E+03,-1.44E-12,-6.63E+02,7.46E-14,3.48E+02,-2.19E-14,90,89.99982271,90,-1.44E-20,1.37E-21,2.01E-20,-9.69E-21,-5.60E-22,2.38E-35,-1.79E-19,3.10E-18,1.61E-21,-0.248120695,1.20E+02,-0.526881352,-5.17E+03,1.44E-12,6.63E+02,0.248120695,-93.53257283,0.526881352,0.001408263,71.16616871,-4.55E+02,7.50003044,4.88E+02,-9.837587436,90,89.99982271,-94.03863995,7.04E-21,2.90E-19,5.69E-18,-2.05E-21,-1.17E-19,1.34E-20,5.42E-20,3.11E-18,1.45E-20,-0.248120695,93.53257283,-0.526881352,-0.001408263,-71.16616871,4.55E+02,0.248120695,-40.03915186,0.526881352,-2.33E-04,71.16664018,75.2809617,-3.09E-04,6.63E+02,99.9975318,9.281523568,1.80E+02,-80.71847643,1.52E-19,-1.15E-18,1.48E-17,2.91E-18,-1.51E-22,-5.24E-20,-2.53E-17,-8.55E-18,8.17E-18,-0.248120695,40.03915186,-0.526881352,2.33E-04,-71.16664018,-75.2809617,0.248120695,-23.28772511,0.526881352,2.37E+03,44.49234995,0.006475587,-3.05E-04,6.63E+02,98.4975318,-1.71E+02,0.00109921,-9.281734331,1.34E-19,-1.00E-17,2.11E-17,2.91E-18,2.06E-20,-3.07E-20,-1.24E-17,-6.20E-18,2.80E-17,-0.248120695,23.28772511,-0.526881352,-2.37E+03,-44.49234995,-0.006475587,0.248120695,-4.506355464,0.526881352,-1.34E-04,0.079324024,43.28531211,-0.00107042,6.13E+02,2.86E+02,-2.11E-04,89.99841245,1.77E-04,9.85E-20,-1.47E-17,2.16E-17,2.91E-18,-2.83E-20,-2.43E-19,-4.94E-17,5.10E-18,3.11E-17,-0.248120695,4.506355464,-0.526881352,1.34E-04,-0.079324024,-43.28531211,0.248120695,-0.453995624,0.526881352,-73.69077784,0.001235701,34.81384179,-0.00107042,6.13E+02,2.86E+02,-2.11E-04,89.99841245,2.07E-04,-5.89E-20,-1.46E-17,1.21E-17,2.91E-18,-1.98E-20,-2.17E-19,-4.97E-17,3.11E-18,3.73E-17,-0.248120695,0.453995624,-0.526881352,73.69077784,-0.001235701,-34.81384179,-0.00166451,4.51E+02,2.87E+02
0.251185311,-1.20E+02,0.524719005,5.16E+03,1.55E-12,-6.63E+02,2.66E-14,3.49E+02,2.22E-14,90,89.99864739,90,4.26E-24,-4.73E-25,-6.64E-23,3.21E-23,1.85E-24,5.65E-31,-2.23E-19,-6.24E-18,1.91E-21,-0.251185311,1.20E+02,-0.524719005,-5.16E+03,-1.55E-12,6.63E+02,0.251185311,-93.53384076,0.524719005,0.010751984,72.05492081,-4.55E+02,7.500232373,4.88E+02,-9.843043533,90,89.99864739,-94.04094683,-2.22E-20,7.40E-22,-7.75E-24,6.63E-24,3.87E-22,-9.14E-24,-6.27E-18,-3.00E-18,-6.28E-20,-0.251185311,93.53384076,-0.524719005,-0.010751984,-72.05492081,4.55E+02,0.251185311,-40.0404198,0.524719005,-0.001790219,72.05827047,75.83239059,-0.002360348,6.63E+02,99.98266003,10.03003225,1.80E+02,-79.96996766,5.14E-21,1.11E-17,1.16E-23,-9.69E-21,-1.16E-18,1.07E-20,-1.25E-17,8.13E-19,-1.38E-15,-0.251185311,40.0404198,-0.524719005,0.001790219,-72.05827047,-75.83239059,0.251185311,-23.28899304,0.524719005,2.37E+03,45.04640512,0.049836862,-0.002324937,6.63E+02,98.48266004,-1.70E+02,0.007766311,-10.03163934,1.75E-16,8.82E-17,-6.20E-23,-2.57E-17,5.11E-17,8.38E-21,-1.26E-17,-5.94E-18,4.07E-15,-0.251185311,23.28899304,-0.524719005,-2.37E+03,-45.04640512,-0.049836862,0.251185311,-4.507623397,0.524719005,-0.001034947,0.088017145,43.93722641,-0.008165762,6.13E+02,2.86E+02,-0.001607261,89.98877648,0.001352829,2.56E-16,1.29E-16,-3.10E-23,-2.57E-17,5.11E-17,8.38E-21,-1.29E-19,2.56E-19,4.06E-15,-0.251185311,4.507623397,-0.524719005,0.001034947,-0.088017145,-43.93722641,0.251185311,-0.455263557,0.524719005,-73.39732795,0.008962335,35.24163875,-0.008165762,6.13E+02,2.86E+02,-0.001607261,89.98877648,0.00157625,2.56E-16,1.29E-16,4.98E-18,-2.57E-17,5.11E-17,9.49E-21,-7.45E-17,2.58E-19,4.06E-15,-0.251185311,0.455263557,-0.524719005,73.39732795,-0.008962335,-35.24163875,-0.01269616,4.51E+02,2.87E+02
0.254249965,-1.20E+02,0.522557246,5.16E+03,-9.90E-13,-6.64E+02,7.99E-14,3.48E+02,2.44E-14,90,89.99747206,90,-1.09E-26,4.04E-27,3.53E-25,-1.06E-25,-1.23E-26,2.74E-29,-2.23E-19,-6.24E-18,1.90E-21,-0.254249965,1.20E+02,-0.522557246,-5.16E+03,9.90E-13,6.64E+02,0.254249965,-93.53510956,0.522557246,0.020108924,72.94376241,-4.56E+02,7.500434532,4.88E+02,-9.84849961,90,89.99747206,-94.04325371,-2.57E-22,3.17E-24,8.89E-23,5.75E-26,-1.41E-24,4.53E-26,-6.27E-18,-3.00E-18,-6.27E-20,-0.254249965,93.53510956,-0.522557246,-0.020108924,-72.94376241,4.56E+02,0.254249965,-40.04168859,0.522557246,-0.003370115,72.95006059,76.38362009,-0.004410671,6.63E+02,99.9677869,10.08703453,1.80E+02,-79.91296515,-3.92E-19,-6.33E-20,-2.54E-16,2.17E-23,2.56E-21,6.16E-21,-1.25E-17,8.13E-19,-1.38E-15,-0.254249965,40.04168859,-0.522557246,0.003370115,-72.95006059,-76.38362009,0.254249965,-23.29026183,0.522557246,2.37E+03,45.60049774,0.093100165,-0.004344489,6.63E+02,98.46778695,-1.70E+02,0.014433513,-10.09003808,-2.88E-18,2.58E-20,0,5.34E-20,-3.21E-21,2.73E-18,-1.26E-17,-5.95E-18,4.07E-15,-0.254249965,23.29026183,-0.522557246,-2.37E+03,-45.60049774,-0.093100165,0.254249965,-4.508892188,0.522557246,-0.001962813,0.096929547,44.58914216,-0.015260838,6.13E+02,2.86E+02,-0.003004151,89.97914057,0.002528687,-4.82E-18,6.85E-20,-7.24E-23,-5.42E-18,-3.28E-18,-1.62E-19,-2.57E-19,5.11E-19,4.06E-15,-0.254249965,4.508892188,-0.522557246,0.001962813,-0.096929547,-44.58914216,0.254249965,-0.456532349,0.522557246,-73.10389841,0.016819032,35.66944828,-0.015260838,6.13E+02,2.86E+02,-0.003004151,89.97914057,0.002946293,-4.71E-18,1.20E-19,3.40E-17,-2.57E-17,5.12E-17,5.83E-21,-7.47E-17,5.16E-19,4.06E-15,-0.254249965,0.456532349,-0.522557246,73.10389841,-0.016819032,-35.66944828,-0.023728659,4.51E+02,2.87E+02
0.257317564,-1.20E+02,0.520354907,5.16E+03,-4.90E-14,-6.65E+02,5.86E-14,3.48E+02,2.22E-14,90,89.99555143,90,5.64E-27,1.32E-23,2.26E-24,3.52E-28,6.14E-29,-1.58E-31,-2.23E-19,-6.24E-18,1.88E-21,-0.257317564,1.20E+02,-0.520354907,-5.16E+03,4.90E-14,6.65E+02,0.257317564,-93.53634974,0.520354907,0.035412118,73.83930038,-4.56E+02,7.50076525,4.88E+02,-9.855825642,90,89.99555143,-94.04636968,3.11E-23,1.65E-23,2.49E-24,-4.62E-28,4.69E-27,-2.03E-28,-6.27E-18,-3.00E-18,-6.25E-20,-0.257317564,93.53634974,-0.520354907,-0.035412118,-73.83930038,4.56E+02,0.257317564,-40.04292877,0.520354907,-0.005973336,73.84964987,76.93419716,-0.007760148,6.63E+02,99.94762875,10.85386733,1.80E+02,-79.14613177,1.01E-21,1.65E-22,-1.49E-23,2.79E-25,-6.36E-24,-7.14E-24,-1.25E-17,8.12E-19,-1.38E-15,-0.257317564,40.04292877,-0.520354907,0.005973336,-73.84964987,-76.93419716,0.257317564,-23.29150201,0.520354907,2.37E+03,46.15860282,0.165100236,-0.007643685,6.63E+02,98.44762888,-1.69E+02,0.023624296,-10.85915007,8.46E-21,5.04E-22,2.98E-23,-1.28E-22,7.12E-24,-6.38E-21,-1.26E-17,-5.95E-18,4.07E-15,-0.257317564,23.29150201,-0.520354907,-2.37E+03,-46.15860282,-0.165100236,0.257317564,-4.510132368,0.520354907,-0.00350443,0.109560419,45.2440008,-0.026851993,6.13E+02,2.86E+02,-0.00528449,89.96582355,0.004450707,9.47E-19,1.10E-19,-1.09E-19,6.18E-20,3.87E-20,8.85E-21,-2.55E-19,5.08E-19,4.06E-15,-0.257317564,4.510132368,-0.520354907,0.00350443,-0.109560419,-45.2440008,0.257317564,-0.457772528,0.520354907,-72.80818987,0.028246694,36.09684611,-0.026851993,6.13E+02,2.86E+02,-0.00528449,89.96582355,0.005186554,2.46E-18,1.56E-21,-8.33E-20,3.89E-19,-6.06E-19,2.74E-18,-7.47E-17,5.02E-19,4.06E-15,-0.257317564,0.457772528,-0.520354907,72.80818987,-0.028246694,-36.09684611,-0.041747418,4.51E+02,2.87E+02
0.26038523,-1.20E+02,0.518153412,5.16E+03,1.81E-12,-6.65E+02,9.77E-15,3.49E+02,2.27E-14,90,89.99363081,90,-9.36E-27,-2.42E-27,3.00E-25,-1.16E-30,-2.72E-31,6.70E-34,-2.23E-19,-6.24E-18,1.86E-21,-0.26038523,1.20E+02,-0.518153412,-5.16E+03,-1.81E-12,6.65E+02,0.26038523,-93.53759115,0.518153412,0.050737165,74.73495476,-4.56E+02,7.501096468,4.88E+02,-9.863151633,90,89.99363081,-94.04948564,-1.86E-26,-6.46E-27,4.43E-25,2.44E-30,-1.55E-29,8.48E-31,-6.27E-18,-3.00E-18,-6.24E-20,-0.26038523,93.53759115,-0.518153412,-0.050737165,-74.73495476,4.56E+02,0.26038523,-40.04417018,0.518153412,-0.008613438,74.74945085,77.48449985,-0.011108274,6.63E+02,99.92746802,11.19112642,1.80E+02,-78.80887179,-2.31E-24,-3.72E-25,9.07E-25,-1.84E-27,1.66E-26,-1.88E-26,-1.25E-17,8.10E-19,-1.38E-15,-0.26038523,40.04417018,-0.518153412,0.008613438,-74.74945085,-77.48449985,0.26038523,-23.29274343,0.518153412,2.37E+03,46.71675263,0.236973245,-0.010941529,6.63E+02,98.42746827,-1.69E+02,0.03281694,-11.19868865,-2.23E-23,-2.19E-24,3.25E-25,3.17E-25,-9.96E-28,1.58E-23,-1.26E-17,-5.94E-18,4.07E-15,-0.26038523,23.29274343,-0.518153412,-2.37E+03,-46.71675263,-0.236973245,0.26038523,-4.511373781,0.518153412,-0.005089511,0.122495718,45.89886121,-0.038442575,6.13E+02,2.86E+02,-0.007565722,89.95250668,0.006373442,-2.31E-21,-1.08E-19,1.16E-21,-6.95E-22,-3.68E-22,-3.39E-23,-2.55E-19,5.09E-19,4.06E-15,-0.26038523,4.511373781,-0.518153412,0.005089511,-0.122495718,-45.89886121,0.26038523,-0.459013942,0.518153412,-72.51251448,0.039850552,36.52426402,-0.038442575,6.13E+02,2.86E+02,-0.007565722,89.95250668,0.007427531,-5.36E-21,-1.90E-23,8.25E-20,-4.13E-21,6.83E-21,-6.52E-21,-7.47E-17,5.05E-19,4.06E-15,-0.26038523,0.459013942,-0.518153412,72.51251448,-0.039850552,-36.52426402,-0.059768119,4.51E+02,2.87E+02
0.263455945,-1.20E+02,0.515913486,5.16E+03,2.12E-12,-6.65E+02,7.99E-15,3.48E+02,2.29E-14,90,89.99095143,90,-2.34E-27,-1.16E-23,-1.77E-30,3.81E-33,1.13E-33,-2.21E-36,-2.23E-19,-6.24E-18,1.84E-21,-0.263455945,1.20E+02,-0.515913486,-5.16E+03,-2.12E-12,6.65E+02,0.263455945,-93.53880593,0.515913486,0.072133149,75.63741644,-4.57E+02,7.501559181,4.88E+02,-9.872181028,90,89.99095143,-94.05334295,-4.63E-27,-1.32E-23,-1.48E-24,-1.11E-32,5.09E-32,-3.39E-33,-6.27E-18,-3.00E-18,-6.22E-20,-0.263455945,93.53880593,-0.515913486,-0.072133149,-75.63741644,4.57E+02,0.263455945,-40.04538497,0.515913486,-0.012323736,75.65712351,78.03421393,-0.015777324,6.63E+02,99.90242236,11.75470776,1.80E+02,-78.2452888,1.55E-29,-1.24E-23,-1.89E-24,9.55E-30,-4.64E-29,2.05E-28,-1.25E-17,8.09E-19,-1.38E-15,-0.263455945,40.04538497,-0.515913486,0.012323736,-75.65712351,-78.03421393,0.263455945,-23.29395821,0.515913486,2.37E+03,47.27902073,0.338186489,-0.015540433,6.63E+02,98.40242281,-1.68E+02,0.044416212,-11.76544779,-6.20E-23,-9.93E-24,-1.65E-24,-8.30E-28,-8.50E-29,-4.17E-26,-1.26E-17,-5.94E-18,4.07E-15,-0.263455945,23.29395821,-0.515913486,-2.37E+03,-47.27902073,-0.338186489,0.263455945,-4.512588567,0.515913486,-0.007333116,0.139195302,46.55671568,-0.054609084,6.13E+02,2.86E+02,-0.01074677,89.93563744,0.009056724,3.70E-23,-2.16E-19,-8.27E-24,7.73E-24,3.17E-24,2.66E-25,-2.55E-19,5.09E-19,4.06E-15,-0.263455945,4.512588567,-0.515913486,0.007333116,-0.139195302,-46.55671568,0.263455945,-0.460228727,0.515913486,-72.21469508,0.05505387,36.95127707,-0.054609084,6.13E+02,2.86E+02,-0.01074677,89.93563744,0.010555291,7.47E-23,-2.16E-19,4.96E-24,3.80E-23,-7.58E-23,1.70E-23,-7.47E-17,5.10E-19,4.06E-15,-0.263455945,0.460228727,-0.515913486,72.21469508,-0.05505387,-36.95127707,-0.084901057,4.51E+02,2.87E+02
